ID,ln_LR
portfolio_228,-0.31462794967186863
portfolio_229,-0.35725428074132703
portfolio_23,-0.2519600485918241
portfolio_230,-0.3735448278456534
portfolio_24,-0.33523162427595665
portfolio_241,-0.33068776047080267
portfolio_242,-0.3446592424961393
portfolio_243,-0.34442504544655866
portfolio_244,-0.3604101080678385
portfolio_245,-0.3766077287337407
portfolio_246,-0.33987534173032585
portfolio_247,-0.35382055836992327
portfolio_248,-0.33022162185876885
portfolio_249,-0.3112735740570764
portfolio_25,-0.3285708167800823
portfolio_250,-0.352856154829582
portfolio_251,-0.32861266535654554
portfolio_252,-0.36939762986394314
portfolio_253,-0.3303993138312009
portfolio_254,-0.32484421745104297
portfolio_255,-0.30764776856203424
portfolio_256,-0.3549771006533036
portfolio_257,-0.34649488955427066
portfolio_258,-0.30262504523498923
portfolio_259,-0.3554784743014888
portfolio_26,-0.2813171232335558
portfolio_260,-0.33245660913712966
portfolio_261,-0.3390987316373353
portfolio_262,-0.339250181454406
portfolio_263,-0.323716542753381
portfolio_264,-0.3150523872235389
portfolio_265,-0.3106994542890902
portfolio_266,-0.30317632866077765
portfolio_267,-0.3250839333315027
portfolio_268,-0.3335820205892337
portfolio_269,-0.3367701938844456
portfolio_27,-0.36574224647972337
portfolio_270,-0.3210443932193415
portfolio_28,-0.3136230339527557
portfolio_29,-0.361050777590137
portfolio_3,-0.33429797374629894
portfolio_30,-0.4078342418377376
portfolio_311,-0.34710859643952513
portfolio_312,-0.33924533679443136
portfolio_313,-0.31566645602231064
portfolio_314,-0.33140273824786515
portfolio_315,-0.33953751658692644
portfolio_316,-0.31879716345357556
portfolio_317,-0.33972504569876516
portfolio_318,-0.34164099958934735
portfolio_319,-0.33657293026384905
portfolio_320,-0.309638944801682
portfolio_331,-0.3244867753868195
portfolio_332,-0.3439218827424791
portfolio_333,-0.33555027835845297
portfolio_334,-0.32587449395190193
portfolio_335,-0.3750268155303087
portfolio_336,-0.28305294432423667
portfolio_337,-0.35177928796530933
portfolio_338,-0.33072452061341834
portfolio_339,-0.33912393050983464
portfolio_340,-0.3211191103051741
portfolio_351,-0.3477791437533879
portfolio_352,-0.3657004658604457
portfolio_353,-0.3330543782010728
portfolio_354,-0.3230465867362741
portfolio_355,-0.3267987221426916
portfolio_356,-0.34430742635110856
portfolio_357,-0.35224399545805773
portfolio_358,-0.3226413865926293
portfolio_359,-0.3445666620122879
portfolio_360,-0.3174073446153427
portfolio_371,-0.3500375347304662
portfolio_372,-0.3166341856553181
portfolio_373,-0.3194705946417376
portfolio_374,-0.33390985418201413
portfolio_375,-0.3502748028145294
portfolio_376,-0.36136899329586514
portfolio_377,-0.32609838738450814
portfolio_378,-0.3529151938491867
portfolio_379,-0.351798570414797
portfolio_380,-0.3521144991749359
portfolio_391,-0.3509236162196602
portfolio_392,-0.36138651936103694
portfolio_393,-0.3119776468167844
portfolio_394,-0.3058704598721917
portfolio_395,-0.31420975313231253
portfolio_396,-0.3210572918304105
portfolio_397,-0.3187586796451538
portfolio_398,-0.3156843211670833
portfolio_399,-0.3035582802383084
portfolio_4,-0.35641870019604244
portfolio_400,-0.33002477308397604
portfolio_401,-0.347043893381855
portfolio_402,-0.3428878748096305
portfolio_403,-0.33560283514021927
portfolio_404,-0.3587249367989884
portfolio_405,-0.3390005931941492
portfolio_406,-0.30044446102211275
portfolio_407,-0.33006343813968225
portfolio_408,-0.34472521405300177
portfolio_409,-0.33730105489456197
portfolio_41,-0.2837292254427742
portfolio_410,-0.3540431884668367
portfolio_411,-0.3464634816523358
portfolio_412,-0.35390107143639354
portfolio_413,-0.3699883848529307
portfolio_414,-0.3628346357701192
portfolio_415,-0.3249790451291811
portfolio_416,-0.35957984426730966
portfolio_417,-0.3586965829006394
portfolio_418,-0.3340940102441124
portfolio_419,-0.35852772236960795
portfolio_42,-0.3228793609946162
portfolio_420,-0.34436260518295186
portfolio_421,-0.3464336375718672
portfolio_422,-0.33088215930630355
portfolio_423,-0.29756873251787863
portfolio_424,-0.36914627630115027
portfolio_425,-0.31900028349629767
portfolio_426,-0.3229772159254153
portfolio_427,-0.3452183996211572
portfolio_428,-0.33767969456485836
portfolio_429,-0.3422881967417157
portfolio_43,-0.3254411947502858
portfolio_430,-0.32679301862770826
portfolio_44,-0.33352246598491414
portfolio_441,-0.32508799464761046
portfolio_442,-0.3184964097061539
portfolio_443,-0.335298427007283
portfolio_444,-0.32841410175630076
portfolio_445,-0.33136168343606326
portfolio_446,-0.3532802981732798
portfolio_447,-0.35315637484479073
portfolio_448,-0.36046708047682097
portfolio_449,-0.33165467641458446
portfolio_45,-0.3955494269023641
portfolio_450,-0.3563258742196842
portfolio_451,-0.3360889296204841
portfolio_452,-0.34103156753422825
portfolio_453,-0.33806994400516227
portfolio_454,-0.35707330003313825
portfolio_455,-0.3354200860437031
portfolio_456,-0.33770493409467495
portfolio_457,-0.32928575564067913
portfolio_458,-0.3291220597758989
portfolio_459,-0.2762524243064722
portfolio_46,-0.34781185833150174
portfolio_460,-0.3346767733848186
portfolio_461,-0.32385429898439416
portfolio_462,-0.339144144894211
portfolio_463,-0.33626792959630464
portfolio_464,-0.32214861022705793
portfolio_465,-0.30833935528930095
portfolio_466,-0.3291050608677945
portfolio_467,-0.3385624843271503
portfolio_468,-0.35102562643434665
portfolio_469,-0.3064424140868667
portfolio_47,-0.34876225820329243
portfolio_470,-0.3207287145501342
portfolio_48,-0.30490364359503314
portfolio_49,-0.3008067291551611
portfolio_5,-0.31450685450806953
portfolio_50,-0.3338293047033364
portfolio_51,-0.2838141187228027
portfolio_511,-0.32523758217930887
portfolio_512,-0.30719575193198095
portfolio_513,-0.3368112969030175
portfolio_514,-0.33129523905489994
portfolio_515,-0.3324748706908653
portfolio_516,-0.34368838718233496
portfolio_517,-0.3444956696986443
portfolio_518,-0.3360938406185215
portfolio_519,-0.3100501668199805
portfolio_52,-0.3163556586642252
portfolio_520,-0.35346221510245157
portfolio_53,-0.31503932109764443
portfolio_531,-0.32045207006769516
portfolio_532,-0.3027544581892865
portfolio_533,-0.3304685331677827
portfolio_534,-0.369052024012084
portfolio_535,-0.3306051453725721
portfolio_536,-0.3829776832554977
portfolio_537,-0.33536765386200584
portfolio_538,-0.33235963579274724
portfolio_539,-0.33126376359989623
portfolio_54,-0.3455803096430693
portfolio_540,-0.32871508468570065
portfolio_55,-0.269831501643982
portfolio_551,-0.3137505684126588
portfolio_552,-0.36151194267089387
portfolio_553,-0.35880521715600483
portfolio_554,-0.33084028417425837
portfolio_555,-0.3285496753526537
portfolio_556,-0.32405988717426876
portfolio_557,-0.32129751736254114
portfolio_558,-0.339080159801259
portfolio_559,-0.29789557170644126
portfolio_56,-0.3226498161546725
portfolio_560,-0.34469059791518064
portfolio_57,-0.43010723054276634
portfolio_571,-0.3475073773077411
portfolio_572,-0.3251451439025149
portfolio_573,-0.3610202518129655
portfolio_574,-0.3677814823550993
portfolio_575,-0.3576578706764148
portfolio_576,-0.3524248387517988
portfolio_577,-0.3457513073087019
portfolio_578,-0.3572664733064338
portfolio_579,-0.35002249412607256
portfolio_58,-0.3274824977808095
portfolio_580,-0.3417886493617172
portfolio_59,-0.2860444129918288
portfolio_591,-0.30228714152580577
portfolio_592,-0.3344104474849968
portfolio_593,-0.3053001971714865
portfolio_594,-0.3047203087036327
portfolio_595,-0.32631683275470025
portfolio_596,-0.3053965547733047
portfolio_597,-0.3474433966789428
portfolio_598,-0.2905968413423184
portfolio_599,-0.3184120638438859
portfolio_6,-0.3492417240272396
portfolio_60,-0.3449556845877711
portfolio_600,-0.29211730194658325
portfolio_61,-0.302819277269964
portfolio_62,-0.352210628585674
portfolio_63,-0.3051787134242942
portfolio_64,-0.3504279385949561
portfolio_65,-0.3060165597482687
portfolio_66,-0.346063991611109
portfolio_67,-0.33009828343806075
portfolio_68,-0.3464411318256979
portfolio_69,-0.2981336788496646
portfolio_7,-0.37944399201389206
portfolio_70,-0.2853253056552533
portfolio_8,-0.3445200611199685
portfolio_9,-0.27746220419037737
